Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price,Remarks
18-DEC-2025,AURIGROW,Auri Grow India Limited,TATAD NAYAN GAUTAMBHAI,BUY,17500000,0.90,-
18-DEC-2025,AWHCL,Antony Waste Hdg Cell Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,176693,495.32,-
18-DEC-2025,AWHCL,Antony Waste Hdg Cell Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,230060,505.77,-
18-DEC-2025,AWHCL,Antony Waste Hdg Cell Ltd,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,170492,492.99,-
18-DEC-2025,AWHCL,Antony Waste Hdg Cell Ltd,MICROCURVES TRADING PRIVATE LIMITED,BUY,157681,505.62,-
18-DEC-2025,AWHCL,Antony Waste Hdg Cell Ltd,QE SECURITIES LLP,BUY,166222,502.40,-
18-DEC-2025,AWHCL,Antony Waste Hdg Cell Ltd,KISHAN KUMAR ANIL,BUY,147200,507.23,-
18-DEC-2025,AWHCL,Antony Waste Hdg Cell Ltd,MUSIGMA SECURITIES,BUY,303667,504.19,-
18-DEC-2025,AWHCL,Antony Waste Hdg Cell Ltd,QICAP MARKETS LLP,BUY,171873,498.31,-
18-DEC-2025,AWHCL,Antony Waste Hdg Cell Ltd,IRAGE BROKING SERVICES LLP,BUY,186831,502.16,-
18-DEC-2025,AWHCL,Antony Waste Hdg Cell Ltd,GRT STRATEGIC VENTURES LLP,BUY,233862,505.55,-
18-DEC-2025,AWHCL,Antony Waste Hdg Cell Ltd,PACE STOCK BROKING SERVICES PVT LTD,BUY,284874,500.88,-
18-DEC-2025,AWHCL,Antony Waste Hdg Cell Ltd,SHARE INDIA SECURITIES LIMITED,BUY,264058,508.89,-
18-DEC-2025,BLISSGVS,Bliss GVS Pharma Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,1111077,161.76,-
18-DEC-2025,BLISSGVS,Bliss GVS Pharma Ltd,MUSIGMA SECURITIES,BUY,560707,162.17,-
18-DEC-2025,BLISSGVS,Bliss GVS Pharma Ltd,ALGOQUANT FINTECH LIMITED,BUY,548726,160.73,-
18-DEC-2025,BLISSGVS,Bliss GVS Pharma Ltd,QE SECURITIES LLP,BUY,860823,162.38,-
18-DEC-2025,BLISSGVS,Bliss GVS Pharma Ltd,MATHISYS ADVISORS LLP,BUY,986572,161.67,-
18-DEC-2025,BLISSGVS,Bliss GVS Pharma Ltd,HRTI PRIVATE LIMITED,BUY,1451301,160.96,-
18-DEC-2025,BLISSGVS,Bliss GVS Pharma Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,530848,162.06,-
18-DEC-2025,C2C,C2C Advanced Systems Ltd,AFFLUENCE GEMS PRIVATELIMITED,BUY,105750,432.84,-
