Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price,Remarks
17-DEC-2025,EPACK,EPACK Durable Limited,CLT RESEARCH TECH PRIVATE LTD,BUY,596224,318.06,-
17-DEC-2025,EPACK,EPACK Durable Limited,MUSIGMA SECURITIES,BUY,883634,318.73,-
17-DEC-2025,EPACK,EPACK Durable Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,519180,315.55,-
17-DEC-2025,EPACK,EPACK Durable Limited,MICROCURVES TRADING PRIVATE LIMITED,BUY,977928,317.88,-
17-DEC-2025,EPACK,EPACK Durable Limited,IRAGE BROKING SERVICES LLP,BUY,1130932,317.67,-
17-DEC-2025,EPACK,EPACK Durable Limited,QE SECURITIES LLP,BUY,1776933,318.77,-
17-DEC-2025,EPACK,EPACK Durable Limited,MATHISYS ADVISORS LLP,BUY,1252414,318.28,-
17-DEC-2025,EPACK,EPACK Durable Limited,HRTI PRIVATE LIMITED,BUY,881098,314.65,-
17-DEC-2025,EPACK,EPACK Durable Limited,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,BUY,1193542,319.57,-
17-DEC-2025,EPACK,EPACK Durable Limited,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,3174928,315.75,-
17-DEC-2025,EPACK,EPACK Durable Limited,GRT STRATEGIC VENTURES LLP,BUY,728783,319.67,-
17-DEC-2025,FWSTC,Flywings Simulat T C Ltd,INDIAN INFOTECH AND SOFTWARE LIMITED,BUY,162600,222.62,-
17-DEC-2025,FWSTC,Flywings Simulat T C Ltd,NEO APEX VENTURE LLP,BUY,73200,214.56,-
17-DEC-2025,FWSTC,Flywings Simulat T C Ltd,GRETEX SHARE BROKING LIMITED,BUY,235800,218.50,-
17-DEC-2025,GLOBALE,Globale Tessile Limited,PATRONUS TRADETECH LLP,BUY,1912,12.81,-
17-DEC-2025,GLOBALE,Globale Tessile Limited,RIMPY MITTAL,BUY,105055,12.67,-
17-DEC-2025,HCC-RE1,Hindustan Construction Co,SBI GENERAL INSURANCE COMPANY LIMITED A/C SBGIFRSM,BUY,6264000,4.16,-
17-DEC-2025,KAYNES,Kaynes Technology Ind Ltd,GRAVITON RESEARCH CAPITAL LLP,BUY,376350,4179.89,-
17-DEC-2025,NEPHROPLUS,Nephrocare Health Serv L,RAJASTHAN GLOBAL SECURITIES PVT LTD,BUY,50000,491.00,-
17-DEC-2025,NEPHROPLUS,Nephrocare Health Serv L,POLAR CAPITAL FUNDS PLC-HEALTHCARE OPPORTUNITIES FUND,BUY,3427866,481.77,-
17-DEC-2025,NEPHROPLUS,Nephrocare Health Serv L,MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED,BUY,533995,482.75,-
17-DEC-2025,NEPHROPLUS,Nephrocare Health Serv L,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,BUY,570020,490.00,-
17-DEC-2025,NEPHROPLUS,Nephrocare Health Serv L,POONAWALLA VISION FUND I,BUY,610000,490.05,-
17-DEC-2025,PARTYCRUS,Party Cruisers Limited,TRUSHALI VAIBHAV SHAH,BUY,4000,83.78,-
17-DEC-2025,PARTYCRUS,Party Cruisers Limited,NALIN RAMANIKLAL SHAH (HUF),BUY,84000,82.00,-
17-DEC-2025,RETAIL,JHS Svendgaard Retail V L,RIMPY MITTAL,BUY,39608,29.09,-
17-DEC-2025,RICOAUTO,Rico Auto Industries Ltd,HRTI PRIVATE LIMITED,BUY,925155,119.60,-
17-DEC-2025,ROTO,Roto Pumps Limited,MUSIGMA SECURITIES,BUY,1635524,70.38,-
17-DEC-2025,ROTO,Roto Pumps Limited,PACE STOCK BROKING SERVICES PVT LTD,BUY,1577473,70.23,-
17-DEC-2025,ROTO,Roto Pumps Limited,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,1304198,70.37,-
17-DEC-2025,ROTO,Roto Pumps Limited,ALPHAGREP SECURITIES PRIVATE LIMITED,BUY,943549,70.27,-
17-DEC-2025,ROTO,Roto Pumps Limited,IRAGE BROKING SERVICES LLP,BUY,1733484,70.44,-
17-DEC-2025,ROTO,Roto Pumps Limited,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,BUY,1524661,70.24,-
17-DEC-2025,ROTO,Roto Pumps Limited,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,2832161,70.43,-
17-DEC-2025,ROTO,Roto Pumps Limited,DHARMIK VITHTHALBHAI KAPURIYA,BUY,1150759,70.67,-
17-DEC-2025,ROTO,Roto Pumps Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,3147688,70.48,-
17-DEC-2025,SAMMAANCAP,Sammaan Capital Limited,GRAVITON RESEARCH CAPITAL LLP,BUY,5634180,147.39,-
17-DEC-2025,SGFIN,SG Finserve Limited,S GUPTA HOLDING PRIVATE LIMITED,BUY,475000,399.41,-
17-DEC-2025,SHAKTIPUMP,Shakti Pumps (I) Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,631740,729.81,-
17-DEC-2025,SHAKTIPUMP,Shakti Pumps (I) Ltd,GRAVITON RESEARCH CAPITAL LLP,BUY,641926,739.35,-
17-DEC-2025,SHAKTIPUMP,Shakti Pumps (I) Ltd,HRTI PRIVATE LIMITED,BUY,902437,727.95,-
17-DEC-2025,SHYAMTEL,Shyam Telecom Limited,RIMPY MITTAL,BUY,67840,13.91,-
17-DEC-2025,SMCGLOBAL,SMC Global Securities Ltd,MANSUKH SECURITIES & FINANCE LIMITED,BUY,187341,85.03,-
17-DEC-2025,VALIANTLAB,Valiant Laboratories Ltd,METASONI ALLOYS PVT LTD,BUY,311999,67.33,-
17-DEC-2025,VIDYAWIRES,Vidya Wires Limited,MATHISYS ADVISORS LLP,BUY,2307994,51.89,-
17-DEC-2025,VIDYAWIRES,Vidya Wires Limited,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,2204780,52.00,-
17-DEC-2025,VIDYAWIRES,Vidya Wires Limited,QE SECURITIES LLP,BUY,1405693,51.84,-
17-DEC-2025,VOLERCAR,Voler Car Limited,GIRIJADHAVA VYAPAAR PRIVATE LIMITED,BUY,78400,199.68,-
17-DEC-2025,WALCHANNAG,Walchandnagar Ind. Ltd,HRTI PRIVATE LIMITED,BUY,344501,179.85,-
17-DEC-2025,WILLAMAGOR,Williamson Magor & Co,RIMPY MITTAL,BUY,60436,31.72,-
17-DEC-2025,AAREYDRUGS,Aarey Drugs & Pharm Ltd,SURAJ TRADELINKS PRIVATE LIMITED,SELL,570000,65.84,-
17-DEC-2025,AEQUS,Aequs Limited,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,4258458,157.12,-
17-DEC-2025,AEQUS,Aequs Limited,MATHISYS ADVISORS LLP,SELL,4389089,156.67,-
17-DEC-2025,AKZOINDIA,Akzo Nobel India Limited,IRAGE BROKING SERVICES LLP,SELL,98675,3142.68,-
17-DEC-2025,AKZOINDIA,Akzo Nobel India Limited,IMPERIAL CHEMICAL INDUSTRIES LIMITED,SELL,4097025,3163.50,-
17-DEC-2025,AKZOINDIA,Akzo Nobel India Limited,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,SELL,280260,3144.45,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,ALGOQUANT FINTECH LIMITED,SELL,156913,295.77,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,QICAP MARKETS LLP,SELL,188608,303.64,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,498037,298.60,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,SELL,279835,299.87,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,HRTI PRIVATE LIMITED,SELL,639215,295.34,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,MUSIGMA SECURITIES,SELL,186621,297.74,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,MATHISYS ADVISORS LLP,SELL,568140,296.55,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,QE SECURITIES LLP,SELL,458045,294.60,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,IRAGE BROKING SERVICES LLP,SELL,167971,300.08,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,ALPHAGREP SECURITIES PRIVATE LIMITED,SELL,265249,292.46,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,226410,301.50,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,SELL,290398,299.66,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,SELL,192530,301.90,-
17-DEC-2025,ATALREAL,Atal Realtech Limited,ACME CAPITAL MARKET LIMITED,SELL,417822,25.26,-
17-DEC-2025,ATALREAL,Atal Realtech Limited,JOSEPH EMMANUEL RAVI,SELL,565288,25.25,-
17-DEC-2025,AURIGROW,Auri Grow India Limited,TATAD NAYAN GAUTAMBHAI,SELL,25805651,0.87,-
17-DEC-2025,AURIGROW,Auri Grow India Limited,ALKABEN PRADIPKUMAR SHAH,SELL,24500000,0.87,-
17-DEC-2025,AURIGROW,Auri Grow India Limited,ACHINTYA SECURITIES LIMITED,SELL,8097140,0.87,-
17-DEC-2025,CEDAAR,Cedaar Textile Limited,INDIAN INFOTECH AND SOFTWARE LIMITED,SELL,114000,91.00,-
17-DEC-2025,COFFEEDAY,Coffee Day Enterprise Ltd,SSPL SECURITIES PRIVATE LIMITED,SELL,2500000,34.14,-
17-DEC-2025,DENTA,Denta Water N Infra Sol L,RANGA PRASAD YALLAKARA,SELL,128560,356.90,-
17-DEC-2025,DENTA,Denta Water N Infra Sol L,MICROCURVES TRADING PRIVATE LIMITED,SELL,152366,359.06,-
17-DEC-2025,DENTA,Denta Water N Infra Sol L,PACE STOCK BROKING SERVICES PVT LTD,SELL,167602,355.62,-
17-DEC-2025,DENTA,Denta Water N Infra Sol L,MUSIGMA SECURITIES,SELL,150067,352.23,-
17-DEC-2025,DENTA,Denta Water N Infra Sol L,IRAGE BROKING SERVICES LLP,SELL,150953,355.01,-
17-DEC-2025,DENTA,Denta Water N Infra Sol L,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,217960,354.48,-
17-DEC-2025,DENTA,Denta Water N Infra Sol L,HRTI PRIVATE LIMITED,SELL,171303,353.06,-
17-DEC-2025,DENTA,Denta Water N Infra Sol L,ALPHAGREP SECURITIES PRIVATE LIMITED,SELL,169164,352.70,-
17-DEC-2025,DENTA,Denta Water N Infra Sol L,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,SELL,318190,359.73,-
17-DEC-2025,DENTA,Denta Water N Infra Sol L,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,SELL,307686,354.16,-
17-DEC-2025,DENTA,Denta Water N Infra Sol L,PUMA SECURITIES,SELL,137691,354.91,-
17-DEC-2025,DENTA,Denta Water N Infra Sol L,GRT STRATEGIC VENTURES LLP,SELL,299036,354.92,-
17-DEC-2025,DENTA,Denta Water N Infra Sol L,CLT RESEARCH TECH PRIVATE LTD,SELL,177905,353.32,-
17-DEC-2025,DENTA,Denta Water N Infra Sol L,DIPAN MEHTA COMMODITIES PRIVATE LIMITED,SELL,133166,358.78,-
17-DEC-2025,DENTA,Denta Water N Infra Sol L,QE SECURITIES LLP,SELL,179936,349.10,-
17-DEC-2025,DENTA,Denta Water N Infra Sol L,MATHISYS ADVISORS LLP,SELL,142045,353.18,-
17-DEC-2025,DENTA,Denta Water N Infra Sol L,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,384530,353.24,-
17-DEC-2025,EPACK,EPACK Durable Limited,MATHISYS ADVISORS LLP,SELL,1249895,318.12,-
17-DEC-2025,EPACK,EPACK Durable Limited,HRTI PRIVATE LIMITED,SELL,831764,314.76,-
17-DEC-2025,EPACK,EPACK Durable Limited,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,SELL,1193542,320.14,-
17-DEC-2025,EPACK,EPACK Durable Limited,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,3173867,315.82,-
17-DEC-2025,EPACK,EPACK Durable Limited,MICROCURVES TRADING PRIVATE LIMITED,SELL,977928,317.91,-
17-DEC-2025,EPACK,EPACK Durable Limited,DIPAN MEHTA COMMODITIES PRIVATE LIMITED,SELL,1115126,316.39,-
17-DEC-2025,EPACK,EPACK Durable Limited,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,SELL,905931,316.79,-
17-DEC-2025,EPACK,EPACK Durable Limited,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,SELL,555689,313.00,-
17-DEC-2025,EPACK,EPACK Durable Limited,CLT RESEARCH TECH PRIVATE LTD,SELL,596224,318.23,-
17-DEC-2025,EPACK,EPACK Durable Limited,MUSIGMA SECURITIES,SELL,883634,318.90,-
17-DEC-2025,EPACK,EPACK Durable Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,519180,315.67,-
17-DEC-2025,EPACK,EPACK Durable Limited,GRT STRATEGIC VENTURES LLP,SELL,728783,319.78,-
17-DEC-2025,EPACK,EPACK Durable Limited,IRAGE BROKING SERVICES LLP,SELL,925059,313.53,-
17-DEC-2025,EPACK,EPACK Durable Limited,QE SECURITIES LLP,SELL,1775688,317.17,-
17-DEC-2025,FWSTC,Flywings Simulat T C Ltd,GRETEX SHARE BROKING LIMITED,SELL,600,214.40,-
17-DEC-2025,FWSTC,Flywings Simulat T C Ltd,SAROJDEVI P GUPTA,SELL,130800,214.40,-
17-DEC-2025,GANGAFORGE,Ganga Forging Limited,MINERVA VENTURES FUND,SELL,741115,3.53,-
17-DEC-2025,GLOBALE,Globale Tessile Limited,RIMPY MITTAL,SELL,15055,12.23,-
17-DEC-2025,GLOBALE,Globale Tessile Limited,PATRONUS TRADETECH LLP,SELL,56229,12.79,-
17-DEC-2025,HCC-RE1,Hindustan Construction Co,CANARA BANK,SELL,10500000,4.02,-
17-DEC-2025,KAYNES,Kaynes Technology Ind Ltd,GRAVITON RESEARCH CAPITAL LLP,SELL,376350,4181.22,-
17-DEC-2025,NEPHROPLUS,Nephrocare Health Serv L,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,SELL,570020,483.30,-
17-DEC-2025,NEPHROPLUS,Nephrocare Health Serv L,RAJASTHAN GLOBAL SECURITIES PVT LTD,SELL,520381,490.10,-
17-DEC-2025,NEPHROPLUS,Nephrocare Health Serv L,MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED,SELL,488995,477.65,-
17-DEC-2025,OLAELEC,Ola Electric Mobility Ltd,BHAVISH AGGARWAL,SELL,41903706,33.96,-
17-DEC-2025,PARTYCRUS,Party Cruisers Limited,TRUSHALI VAIBHAV SHAH,SELL,107000,82.00,-
17-DEC-2025,RETAIL,JHS Svendgaard Retail V L,RIMPY MITTAL,SELL,32024,29.88,-
17-DEC-2025,RICOAUTO,Rico Auto Industries Ltd,HRTI PRIVATE LIMITED,SELL,845031,120.77,-
17-DEC-2025,ROTO,Roto Pumps Limited,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,1305046,70.46,-
17-DEC-2025,ROTO,Roto Pumps Limited,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,SELL,1524661,70.27,-
17-DEC-2025,ROTO,Roto Pumps Limited,IRAGE BROKING SERVICES LLP,SELL,2023104,70.49,-
17-DEC-2025,ROTO,Roto Pumps Limited,ALPHAGREP SECURITIES PRIVATE LIMITED,SELL,943549,70.35,-
17-DEC-2025,ROTO,Roto Pumps Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,3147688,70.52,-
17-DEC-2025,ROTO,Roto Pumps Limited,PACE STOCK BROKING SERVICES PVT LTD,SELL,1577473,70.35,-
17-DEC-2025,ROTO,Roto Pumps Limited,MUSIGMA SECURITIES,SELL,1635524,70.49,-
17-DEC-2025,ROTO,Roto Pumps Limited,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,SELL,2832161,70.51,-
17-DEC-2025,ROTO,Roto Pumps Limited,DHARMIK VITHTHALBHAI KAPURIYA,SELL,1203829,70.88,-
17-DEC-2025,SAMMAANCAP,Sammaan Capital Limited,GRAVITON RESEARCH CAPITAL LLP,SELL,5634180,147.43,-
17-DEC-2025,SHAKTIPUMP,Shakti Pumps (I) Ltd,HRTI PRIVATE LIMITED,SELL,963560,731.83,-
17-DEC-2025,SHAKTIPUMP,Shakti Pumps (I) Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,630806,730.35,-
17-DEC-2025,SHAKTIPUMP,Shakti Pumps (I) Ltd,GRAVITON RESEARCH CAPITAL LLP,SELL,640482,739.62,-
17-DEC-2025,SHUBHLAXMI,Shubhlaxmi Jewel Art Ltd,LATANISH (HUF) .,SELL,60000,35.97,-
17-DEC-2025,SHYAMTEL,Shyam Telecom Limited,RIMPY MITTAL,SELL,12840,14.46,-
17-DEC-2025,SMCGLOBAL,SMC Global Securities Ltd,MANSUKH SECURITIES & FINANCE LIMITED,SELL,1377341,85.19,-
17-DEC-2025,VALIANTLAB,Valiant Laboratories Ltd,METASONI ALLOYS PVT LTD,SELL,7742,66.98,-
17-DEC-2025,VCL,Vaxtex Cotfab Limited,NEO APEX VENTURE LLP,SELL,1390855,1.90,-
17-DEC-2025,VIDYAWIRES,Vidya Wires Limited,MATHISYS ADVISORS LLP,SELL,2284727,51.64,-
17-DEC-2025,VIDYAWIRES,Vidya Wires Limited,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,2196403,51.97,-
17-DEC-2025,VIDYAWIRES,Vidya Wires Limited,QE SECURITIES LLP,SELL,1513797,51.81,-
17-DEC-2025,WALCHANNAG,Walchandnagar Ind. Ltd,HRTI PRIVATE LIMITED,SELL,342414,180.41,-
17-DEC-2025,WILLAMAGOR,Williamson Magor & Co,RIMPY MITTAL,SELL,10436,31.74,-
